player,status,local_path,wikipedia_page,image_url,artist,credit,license,license_url,attribution_required
Phil Foden,downloaded,player_images/phil_foden.jpg,https://en.wikipedia.org/wiki/Phil_Foden,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/2023-10-04_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League%2C_RB_Leipzig_-_Manchester_City_FC_1DX_2613%2C_Phil_Foden.jpg/960px-2023-10-04_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League%2C_RB_Leipzig_-_Manchester_City_FC_1DX_2613%2C_Phil_Foden.jpg,Steffen Prößdorf,Self-photographed,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true
Jude Bellingham,downloaded,player_images/jude_bellingham.jpg,https://en.wikipedia.org/wiki/Jude_Bellingham,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/25th_Laureus_World_Sports_Awards_-_Red_Carpet_-_Jude_Bellingham_-_240422_190551-2_%28cropped%29.jpg/960px-25th_Laureus_World_Sports_Awards_-_Red_Carpet_-_Jude_Bellingham_-_240422_190551-2_%28cropped%29.jpg,Barcex,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true
Gavi,downloaded,player_images/gavi.jpg,https://en.wikipedia.org/wiki/Gavi_(footballer),https://upload.wikimedia.org/wikipedia/commons/1/1e/Jugadors_pretemporada_pels_Estats_Units_%28cropped%292.jpg,Generalitat de Catalunya,https://govern.cat/salapremsa/notes-premsa/428442/equip-masculi-del-fc-barcelona-promociona-catalunya-pretemporada-pels-estats-units,Attribution,,
Pedri,downloaded,player_images/pedri.jpg,https://en.wikipedia.org/wiki/Pedri,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Pedri.jpg/960px-Pedri.jpg,Biso,Own work,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,true
Kylian Mbappé,downloaded,player_images/kylian_mbappe.jpg,https://en.wikipedia.org/wiki/Kylian_Mbapp%C3%A9,https://upload.wikimedia.org/wikipedia/commons/6/66/Picture_with_Mbapp%C3%A9_%28cropped_and_rotated%29.jpg,Helfer Emilio,Own work,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,false
Xavi Simons,downloaded,player_images/xavi_simons.jpg,https://en.wikipedia.org/wiki/Xavi_Simons,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/2023-10-04_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League%2C_RB_Leipzig_-_Manchester_City_FC_1DX_2672_%28Xavi_Simons%29.jpg/960px-2023-10-04_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League%2C_RB_Leipzig_-_Manchester_City_FC_1DX_2672_%28Xavi_Simons%29.jpg,Original:  Steffen Prößdorf; Derivative work:  SonoGrazy,Self-photographed,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true
Jamal Musiala,downloaded,player_images/jamal_musiala.jpg,https://en.wikipedia.org/wiki/Jamal_Musiala,https://upload.wikimedia.org/wikipedia/commons/4/44/Jamal_Musiala_2022_%28cropped%29.jpg,crop by ArsenalGhanaPartey,Self-photographed,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true
Alejandro Garnacho,downloaded,player_images/alejandro_garnacho.jpg,https://en.wikipedia.org/wiki/Alejandro_Garnacho,https://upload.wikimedia.org/wikipedia/commons/a/ab/Alejandro_Garnacho_7_August_2022_%28cropped%29.jpg,Ardfern,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true
Ryan Gravenberch,downloaded,player_images/ryan_gravenberch.jpg,https://en.wikipedia.org/wiki/Ryan_Gravenberch,https://upload.wikimedia.org/wikipedia/commons/3/3e/2022-07-30_Fu%C3%9Fball%2C_M%C3%A4nner%2C_DFL-Supercup%2C_RB_Leipzig_-_FC_Bayern_M%C3%BCnchen_1DX_3342_by_Stepro_%28cropped%29.jpg,crop by Sepguilherme,Self-photographed,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true
Nuno Mendes,no_page_image,,https://en.wikipedia.org/wiki/Nuno_Mendes_(footballer),,,,,,
William Saliba,downloaded,player_images/william_saliba.jpg,https://en.wikipedia.org/wiki/William_Saliba,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Lens_-_Marseille_%2822-01-2022%29_15.jpg/960px-Lens_-_Marseille_%2822-01-2022%29_15.jpg,Supporterhéninois,Own work,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,false
Sandro Tonali,downloaded,player_images/sandro_tonali.jpg,https://en.wikipedia.org/wiki/Sandro_Tonali,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Norway_Italy_-_June_2025_B_03.jpg/960px-Norway_Italy_-_June_2025_B_03.jpg,MichaelEmilio,Own work,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,true
